bucket,n_steps,H_mean,H_std,H_min,H_max,H_final,R_mean,R_std,R_min,R_max,R_final,HR_corr,neg_dR_count,abs_dR_mean,lag_H_to_R_steps,H_slope_per_step,curvature_zero_rate,stabilized,stabilized_index
creative,591.4571428571429,0.5318817994389868,0.48701564065449054,2.857142857142857e-08,1.5861885714285713,0.13227685714285714,0.287950054711204,0.17258034463487304,0.005132571428571428,0.8334164000000001,0.332158,-0.7487771139160172,290.8,0.19665496350757516,-16.542857142857144,-0.00013142018191066328,0.49526268605393725,0.0,590.4571428571429
multilingual,586.2285714285714,0.4517829573425501,0.4807194342178639,2.857142857142857e-08,1.5851562857142856,0.24279882857142857,0.3050655094384387,0.17429099624221825,0.005333228571428571,0.8036126857142857,0.27112825714285715,-0.6946712656318254,288.6857142857143,0.18513085994830206,-84.57142857142857,-0.00014811639934163103,0.47674875083343843,0.02857142857142857,572.9714285714285
science,644.6571428571428,0.38957667045118693,0.447192633119226,0.0,1.5805524857142856,0.1317230857142857,0.3381820389975445,0.16704748039746525,0.006261085714285714,0.8298208571428571,0.3142584,-0.6967534290268708,315.54285714285714,0.18413146826126797,46.22857142857143,-7.442705981897034e-05,0.48363382585923254,0.0,643.6571428571428
