cosine,compression_sim,levenshtein_tok,composite,repetition
0.9189789104563455,0.7457627118644068,0.0,0.8419939333043728,0.0
0.9098456042680373,0.6428571428571428,0.0,0.7911840658631953,0.0
0.8787804775908452,0.7115384615384616,0.033333333333333326,0.8044506926786748,0.0
0.8778237128151073,0.7058823529411764,0.033333333333333326,0.8014053306489158,0.0
0.9746470705123627,0.6938775510204082,0.033333333333333326,0.8407549679326328,0.0714285714285714
0.976663384675603,0.679245283018868,0.033333333333333326,0.8354295878415143,0.0
0.9555707936488681,0.7017543859649122,0.0,0.8427635013448878,0.0
0.9656455742047292,0.6885245901639344,0.0,0.8424806924088204,0.0
0.9315884093755082,0.7377049180327868,0.09999999999999998,0.8454179687787431,0.0
0.9531967438016969,0.7272727272727273,0.19999999999999996,0.8527860697888217,0.0
0.9571416241126247,0.6545454545454545,0.1333333333333333,0.8226544376383269,0.0
0.9850949332271681,0.7543859649122807,0.033333333333333326,0.8825576139761071,0.0
0.9818289691935614,0.6842105263157895,0.0,0.8450029229832634,0.0357142857142857
0.9506574717421381,0.7,0.0,0.8347581465876696,0.0
0.972796706490953,0.8,0.5333333333333333,0.8959981702727517,0.0
