trace_path,bucket,n_steps,H_mean,H_std,H_min,H_max,H_final,R_mean,R_std,R_min,R_max,R_final,HR_corr,neg_dR_count,abs_dR_mean,intervention,lag_H_to_R_steps,H_slope_per_step,curvature_zero_rate,stabilized,stabilized_index,run_id,run_root
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_17/trace.csv,multilingual,425,0.457337665882353,0.4861359054652166,-0.0,1.595703,0.203003,0.2984842752941177,0.17443810046731925,0.003904,0.770196,0.241295,-0.6666019134533284,210,0.18589717176470585,none,-88,-5.026213174719851e-05,0.49411764705882355,False,424,run_17,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_17
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_18/trace.csv,multilingual,532,0.48049531390977446,0.48749878824367343,-0.0,1.600586,7.3e-05,0.2905604454887218,0.16919132382345806,0.002339,0.840599,0.357406,-0.7157008683525582,254,0.18902754887218046,none,-10,-2.6004659747757657e-05,0.4830827067669173,False,531,run_18,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_18
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_19/trace.csv,multilingual,683,0.4480002459736456,0.4748196626503867,-0.0,1.591797,0.000895,0.3100430483162518,0.17876770817919516,0.003946,0.855005,0.362347,-0.7170413796738988,319,0.20837444363103952,none,1,-3.9174726079398694e-05,0.493411420204978,False,682,run_19,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_19
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_20/trace.csv,multilingual,726,0.36823272865013773,0.45586901097824184,-0.0,1.599609,0.415039,0.34058959504132225,0.17474109404491855,0.002314,0.779793,0.205279,-0.6693434593730571,362,0.19688178099173553,none,205,0.00018782849670507333,0.48760330578512395,False,725,run_20,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_20
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_21/trace.csv,multilingual,349,0.4444798796561605,0.5248914510398389,-0.0,1.587891,0.011215,0.291503558739255,0.18788261818067206,0.002644,0.783841,0.285594,-0.6625282678573672,174,0.22324099426934096,none,1,-0.00011962544412607546,0.4871060171919771,False,348,run_21,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_21
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_22/trace.csv,multilingual,721,0.46628379472954234,0.5137611782366914,-0.0,1.598633,0.004719,0.2879086296809987,0.17515122673865477,0.001473,0.749137,0.286511,-0.6862551210860063,337,0.19626885298196947,none,1,-7.415761868903177e-05,0.47711511789181693,False,720,run_22,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_22
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_23/trace.csv,multilingual,604,0.4109361821192053,0.46781377412945174,-0.0,1.597656,7.8e-05,0.3192755612582781,0.17151297327046156,0.003674,0.801381,0.337386,-0.6590941901687195,302,0.18755913907284769,none,64,-3.3595373523712224e-05,0.47019867549668876,False,603,run_23,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_23
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_24/trace.csv,multilingual,599,0.5475653238731218,0.5152886613621462,-0.0,1.599609,0.916504,0.27092364607679464,0.17692664237119912,0.001357,0.808342,0.120985,-0.7150338743500745,285,0.20141077963272122,none,9,-7.779819906086469e-05,0.48914858096828046,False,598,run_24,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_24
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_25/trace.csv,multilingual,1098,0.21504844535519127,0.38516379141804813,-0.0,1.588867,0.45166,0.4182193816029144,0.1896291572646822,0.0,0.818987,0.211455,-0.6359630292486587,554,0.1673286757741348,none,-460,-0.0003332902589765424,0.4344262295081967,False,1097,run_25,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_25
/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_26/trace.csv,multilingual,446,0.6092696524663677,0.5332483577564185,-0.0,1.608398,0.671387,0.25148988340807177,0.17471122896772381,0.000195,0.808992,0.148272,-0.7322285692559182,214,0.18917942825112105,none,-90,0.0001842927790212562,0.45739910313901344,False,445,run_26,/Users/joeystafford/repos/semantic-resonance-budget-falsification/reports/falsification/embed_noise/multilingual/20251029_2226/run_26
